,t,fronters_count,fit
26598,1065.88,2.8,1.8581586254476743
26599,1065.92,2.8066666666666666,1.8581586254476743
26600,1065.96,2.813333333333333,1.8581586254476743
26601,1066.0,2.82,1.8581586254476743
26602,1066.04,2.8266666666666667,1.8581586254476743
26603,1066.08,2.833333333333333,1.8581586254476743
26604,1066.12,2.84,1.8581586254476743
26605,1066.16,2.8466666666666667,1.8581586254476743
26606,1066.2,2.853333333333333,1.8581586254476743
26607,1066.24,2.86,1.8581586254476743
26608,1066.28,2.8666666666666667,1.8581586254476743
26609,1066.32,2.873333333333333,1.8581586254476743
26610,1066.36,2.88,1.8581586254476743
26611,1066.4,2.8866666666666667,1.8581586254476743
26612,1066.44,2.893333333333333,1.8581586254476743
26613,1066.48,2.9,1.8581586254476743
26614,1066.52,2.9066666666666667,1.8581586254476743
26615,1066.56,2.913333333333333,1.8581586254476743
26616,1066.6,2.92,1.8581586254476743
26617,1066.64,2.9266666666666667,1.8581586254476743
26618,1066.68,2.933333333333333,1.8581586254476743
26619,1066.72,2.94,1.8581586254476743
26620,1066.76,2.9466666666666668,1.8581586254476743
26621,1066.8,2.953333333333333,1.8581586254476743
26622,1066.84,2.96,1.8581586254476743
26623,1066.88,2.966666666666667,1.8581586254476743
26624,1066.92,2.973333333333333,1.8581586254476743
26625,1066.96,2.98,1.8581586254476743
26626,1067.0,2.986666666666667,1.8581586254476743
26627,1067.04,2.986666666666667,1.8581586254476743
26628,1067.08,2.993333333333333,1.8581586254476743
26629,1067.12,2.993333333333333,1.8581586254476743
26630,1067.16,2.993333333333333,1.8581586254476743
26631,1067.2,3.0,1.8581586254476743
26632,1067.24,3.0,1.8581586254476743
26633,1067.28,3.0,1.8581586254476743
26634,1067.32,3.0,1.8581586254476743
26635,1067.36,3.0,1.8581586254476743
26636,1067.4,3.0,1.8581586254476743
26637,1067.44,3.0,1.8581586254476743
26638,1067.48,3.0,1.8581586254476743
26639,1067.52,3.0,1.8581586254476743
26640,1067.56,3.0,1.8581586254476743
26641,1067.6,3.0,1.8581586254476743
26642,1067.64,3.0,1.8581586254476743
26643,1067.68,3.0,1.8581586254476743
26644,1067.72,3.0,1.8581586254476743
26645,1067.76,3.0,1.8581586254476743
26646,1067.8,3.0,1.8581586254476743
26647,1067.84,3.0,1.8581586254476743
26648,1067.88,3.0,1.8581586254476743
26649,1067.92,3.0,1.8581586254476743
26650,1067.96,3.0,1.8581586254476743
26651,1068.0,3.0,1.8581586254476743
26652,1068.04,3.0,1.8581586254476743
26653,1068.08,3.0,1.8581586254476743
26654,1068.12,3.0,1.8581586254476743
26655,1068.16,3.0,1.8581586254476743
26656,1068.2,3.0,1.8581586254476743
26657,1068.24,3.0,1.8581586254476743
26658,1068.28,3.0,1.8581586254476743
26659,1068.32,2.993333333333333,1.8581586254476743
26660,1068.36,2.993333333333333,1.8581586254476743
26661,1068.4,2.993333333333333,1.8581586254476743
26662,1068.44,2.993333333333333,1.8581586254476743
26663,1068.48,2.993333333333333,1.8581586254476743
26664,1068.52,2.993333333333333,1.8581586254476743
26665,1068.56,2.993333333333333,1.8581586254476743
26666,1068.6,2.986666666666667,1.8581586254476743
26667,1068.64,2.98,1.8581586254476743
26668,1068.68,2.98,1.8581586254476743
26669,1068.72,2.973333333333333,1.8581586254476743
26670,1068.76,2.966666666666667,1.8581586254476743
26671,1068.8,2.96,1.8581586254476743
26672,1068.84,2.953333333333333,1.8581586254476743
26673,1068.88,2.9466666666666668,1.8581586254476743
26674,1068.92,2.94,1.8581586254476743
26675,1068.96,2.933333333333333,1.8581586254476743
26676,1069.0,2.9266666666666667,1.8581586254476743
26677,1069.04,2.92,1.8581586254476743
26678,1069.08,2.913333333333333,1.8581586254476743
26679,1069.12,2.9066666666666667,1.8581586254476743
26680,1069.16,2.9,1.8581586254476743
26681,1069.2,2.893333333333333,1.8581586254476743
26682,1069.24,2.8866666666666663,1.8581586254476743
26683,1069.28,2.88,1.8581586254476743
26684,1069.32,2.873333333333333,1.8581586254476743
26685,1069.36,2.8666666666666663,1.8581586254476743
26686,1069.4,2.86,1.8581586254476743
26687,1069.44,2.853333333333333,1.8581586254476743
26688,1069.48,2.8466666666666662,1.8581586254476743
26689,1069.52,2.84,1.8581586254476743
26690,1069.56,2.833333333333333,1.8581586254476743
26691,1069.6,2.826666666666666,1.8581586254476743
26692,1069.64,2.82,1.8581586254476743
26693,1069.68,2.813333333333333,1.8581586254476743
26694,1069.72,2.806666666666666,1.8581586254476743
26695,1069.76,2.8,1.8581586254476743
26696,1069.8,2.793333333333333,1.8581586254476743
26697,1069.84,2.786666666666666,1.8581586254476743
26698,1069.88,2.78,1.8581586254476743
26699,1069.92,2.773333333333333,1.8581586254476743
26700,1069.96,2.766666666666666,1.8581586254476743
26701,1070.0,2.76,1.8581586254476743
26702,1070.04,2.76,1.8581586254476743
26703,1070.08,2.753333333333333,1.8581586254476743
26704,1070.12,2.746666666666666,1.8581586254476743
26705,1070.16,2.74,1.8581586254476743
26706,1070.2,2.733333333333333,1.8581586254476743
26707,1070.24,2.726666666666666,1.8581586254476743
26708,1070.28,2.72,1.8581586254476743
26709,1070.32,2.72,1.8581586254476743
26710,1070.36,2.713333333333333,1.8581586254476743
26711,1070.4,2.706666666666667,1.8581586254476743
26712,1070.44,2.7,1.8581586254476743
26713,1070.48,2.6933333333333334,1.8581586254476743
26714,1070.52,2.686666666666667,1.8581586254476743
26715,1070.56,2.68,1.8581586254476743
26716,1070.6,2.6799999999999993,1.8581586254476743
26717,1070.64,2.68,1.8581586254476743
26718,1070.68,2.6733333333333333,1.8581586254476743
26719,1070.72,2.6733333333333333,1.8581586254476743
26720,1070.76,2.6733333333333333,1.8581586254476743
26721,1070.8,2.6733333333333333,1.8581586254476743
26722,1070.84,2.6733333333333333,1.8581586254476743
26723,1070.88,2.6733333333333333,1.8581586254476743
26724,1070.92,2.6733333333333333,1.8581586254476743
26725,1070.96,2.6733333333333333,1.8581586254476743
26726,1071.0,2.6733333333333333,1.8581586254476743
26727,1071.04,2.6733333333333333,1.8581586254476743
26728,1071.08,2.6733333333333333,1.8581586254476743
26729,1071.12,2.6733333333333333,1.8581586254476743
26730,1071.16,2.6733333333333333,1.8581586254476743
26731,1071.2,2.6733333333333333,1.8581586254476743
26732,1071.24,2.666666666666667,1.8581586254476743
26733,1071.28,2.666666666666666,1.8581586254476743
26734,1071.32,2.666666666666667,1.8581586254476743
26735,1071.36,2.66,1.8581586254476743
26736,1071.4,2.6533333333333333,1.8581586254476743
26737,1071.44,2.646666666666667,1.8581586254476743
26738,1071.48,2.64,1.8581586254476743
26739,1071.52,2.6333333333333333,1.8581586254476743
26740,1071.56,2.626666666666667,1.8581586254476743
26741,1071.6,2.62,1.8581586254476743
26742,1071.64,2.6133333333333333,1.8581586254476743
26743,1071.68,2.606666666666667,1.8581586254476743
26744,1071.72,2.6,1.8581586254476743
26745,1071.76,2.5933333333333333,1.8581586254476743
26746,1071.8,2.586666666666667,1.8581586254476743
26747,1071.84,2.58,1.8581586254476743
