frame,Unnamed: 0,frame,x,y,r,particle
716,560,716,659.5,698.5,30.5,0
717,561,717,658.5,697.5,31.5,0
719,562,719,655.5,702.5,33.1,0
720,563,720,660.5,701.5,30.8,0
721,564,721,658.5,702.5,30.9,0
724,565,724,656.5,710.5,34.2,0
725,566,725,661.5,705.5,30.8,0
728,567,728,660.5,706.5,30.4,0
731,568,731,660.5,704.5,33.8,0
732,569,732,659.5,709.5,30.8,0
735,570,735,658.5,709.5,32.0,0
737,571,737,659.5,713.5,30.9,0
738,572,738,657.5,715.5,30.7,0
739,573,739,658.5,714.5,30.5,0
740,574,740,657.5,714.5,30.7,0
742,575,742,658.5,716.5,31.6,0
743,576,743,658.5,717.5,30.8,0
744,577,744,658.5,719.5,30.8,0
747,578,747,657.5,722.5,30.9,0
749,579,749,656.5,724.5,30.8,0
750,580,750,657.5,724.5,30.8,0
751,581,751,658.5,723.5,30.5,0
752,582,752,657.5,723.5,30.9,0
754,583,754,659.5,724.5,30.9,0
755,584,755,660.5,725.5,30.9,0
757,585,757,659.5,728.5,30.7,0
758,586,758,660.5,728.5,30.5,0
759,587,759,659.5,729.5,31.5,0
760,588,760,660.5,729.5,30.7,0
761,589,761,660.5,729.5,30.9,0
763,590,763,660.5,729.5,32.0,0
764,591,764,660.5,731.5,30.8,0
766,592,766,663.5,735.5,34.2,0
767,593,767,658.5,732.5,32.0,0
768,594,768,660.5,735.5,30.8,0
769,595,769,662.5,738.5,30.9,0
770,596,770,661.5,737.5,30.35,0
772,597,772,661.5,738.5,30.8,0
778,598,778,662.5,742.5,31.8,0
779,599,779,661.5,745.5,30.3,0
780,600,780,663.5,745.5,30.8,0
782,601,782,662.5,746.5,30.7,0
785,602,785,664.5,749.5,30.9,0
786,603,786,665.5,755.5,34.2,0
788,604,788,663.5,748.5,30.8,0
789,605,789,665.5,753.5,32.0,0
792,606,792,663.5,753.5,30.4,0
793,607,793,665.5,754.5,30.7,0
794,608,794,667.5,756.5,30.8,0
795,609,795,663.5,754.5,30.5,0
796,610,796,663.5,755.5,30.25,0
797,611,797,666.5,757.5,32.0,0
799,612,799,666.5,759.5,31.6,0
804,613,804,662.5,764.5,30.9,0
809,614,809,663.5,765.5,30.5,0
810,615,810,665.5,765.5,30.4,0
812,616,812,664.5,766.5,30.5,0
816,617,816,662.5,769.5,30.9,0
819,618,819,664.5,770.5,30.7,0
822,619,822,663.5,775.5,33.0,0
828,620,828,661.5,775.5,30.8,0
830,621,830,662.5,775.5,31.9,0
834,622,834,665.5,777.5,34.2,0
835,623,835,661.5,775.5,30.9,0
836,624,836,663.5,773.5,30.35,0
838,625,838,668.5,759.5,36.4,0
840,626,840,661.5,778.5,31.9,0
842,627,842,661.5,773.5,30.5,0
843,628,843,663.5,773.5,30.7,0
845,629,845,664.5,769.5,32.0,0
846,630,846,662.5,774.5,30.5,0
848,631,848,662.5,774.5,30.6,0
850,632,850,662.5,775.5,30.8,0
851,633,851,662.5,775.5,30.3,0
853,634,853,669.5,761.5,36.4,0
854,635,854,663.5,775.5,30.8,0
855,636,855,660.5,753.5,32.0,0
860,637,860,664.5,778.5,31.6,0
861,638,861,659.5,773.5,32.4,0
865,639,865,660.5,775.5,30.4,0
867,640,867,660.5,778.5,30.8,0
869,641,869,661.5,775.5,30.9,0
870,642,870,662.5,775.5,30.3,0
872,643,872,661.5,776.5,30.35,0
873,644,873,661.5,775.5,30.6,0
874,645,874,661.5,775.5,31.0,0
875,646,875,661.5,777.5,31.9,0
876,647,876,664.5,777.5,30.7,0
877,648,877,659.5,776.5,30.7,0
879,649,879,663.5,777.5,31.6,0
